query,observed_result_mix,authority_barrier,utility_gap,radonverdict_action,opportunity_score
how long does a radon test take,CDC plus inspectors and local testing firms,medium,exposure time is confused with lab turnaround,interactive result date calculator,88
radon mitigation system maintenance,EPA plus 2026 contractor guides,medium,competitors invent monthly schedules beyond EPA wording,source-bounded owner record,91
radon manometer reading,local contractors plus forums,low,universal normal numbers are presented without system baseline,baseline comparison record,94
radon fan noise,video plus contractors plus many forum threads,low,sound labels are treated as remote diagnosis,safe observation and service-call note,93
radon fan stopped working,EPA plus repair publishers and forums,medium,unsafe electrical troubleshooting is common,incident record after maintenance cluster proves demand,78
radon system alarm,contractors plus manuals,medium,model-specific alarms are generalized,route to label manual and installer after demand signal,76
how long do radon fans last,EPA plus named contractor experts,medium,five years is misrepresented as an expiration date,service-life record tied to EPA wording,89
radon test after mitigation,EPA and AARST plus contractors,medium,timing location and independence are fragmented,post-mitigation record page,84
radon test results what do they mean,CDC EPA labs and RadonConnect,high,threshold tables omit test validity and test type,result workflow rewrite after source audit,67
radon levels chart,government and established publishers,high,charts imply hard safe unsafe boundaries,merge into one result canonical,52
radon monitor spikes,one independent publisher plus forum threads,medium,users overreact to a single peak without duration context,build only after adjacent impressions,73
two radon tests different results,government QA material plus forums,medium,consumer workflow for location duration and uncertainty is missing,build only after adjacent impressions,71
where to place radon test basement or first floor,CDC state guidance manufacturers and forums,medium,rules vary by occupancy and context,merge decision branch into placement page,82
can you open windows during radon test,inspectors state documents and forums,low,generic yes no answers ignore test context,keep protocol support page,69
how to mail radon test kit,laboratory FAQs and local programs,low,deadlines are device and lab specific,return checklist with user-entered deadline,70
can you use expired radon test kit,state guidance and laboratory FAQs,low,answers conflict by kit type and manufacturer,kit-specific preflight page,68
radon detector vs monitor,affiliate publishers manufacturers and forums,high,terminology and use case are blurred,neutral category comparison only,58
best radon test kit,tested publishers and affiliate sites,very-high,hands-on evidence is the ranking bar,hold until products are actually tested,24
radon mitigation cost calculator,EPA and strong contractor tools,high,credible inputs and transparent models are required,hold retired estimates until model is defensible,31
radon mitigation quote checklist,forums inspection checklists and contractors,medium,homeowners lack a neutral quote comparison record,retain checklist but do not target service intent,64
