"query_id","query","family","journey","volume_band","serp_class","ymyl_risk","tier","target_url","evidence"
"Q001","how long does a radon test take","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q002","how long is a radon test","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q003","radon test duration","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q004","how many days for radon test","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q005","48 hour radon test","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q006","how long to leave radon test kit","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q007","short term radon test length","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q008","long term radon test length","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q009","how long for radon test results","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q010","radon test turnaround time","test-duration","test-setup","1K-10K","government+inspectors","medium","A","/guides/short-term-vs-long-term-radon-test","planner+serp-sample"
"Q011","radon mitigation system maintenance","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q012","radon system maintenance","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q013","radon system maintenance checklist","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q014","how to maintain radon mitigation system","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
